Beginning portrait word transform...
Portrait word transform saved to portrait_modified.png
         9459716 function calls in 252.783 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       82    0.000    0.000    0.000    0.000 {ord}
       24    0.000    0.000    0.000    0.000 string.py:229(upper)
       75    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:32(_compile)
        1    0.000    0.000    0.000    0.000 optparse.py:1367(parse_args)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:121(SOF)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:383(load_read)
        1    0.000    0.000    0.000    0.000 Image.py:387(_getencoder)
       55    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        2    0.000    0.000    0.000    0.000 optparse.py:609(_set_attrs)
       52    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {apply}
       18    0.000    0.000    0.000    0.000 {posix.stat}
        5    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
        2    0.000    0.000    0.000    0.000 PngImagePlugin.py:110(call)
        1    0.000    0.000    0.000    0.000 sre_compile.py:361(_compile_info)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 PngImagePlugin.py:85(read)
       38    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        6    0.000    0.000    0.000    0.000 sre_parse.py:201(get)
        4    0.000    0.000    0.000    0.000 Image.py:460(_new)
        5    0.000    0.000    0.000    0.000 Image.py:2082(register_open)
       11    0.000    0.000    0.000    0.000 string.py:220(lower)
        1    0.000    0.000    0.000    0.000 optparse.py:1419(_process_args)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:168(DQT)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:206(chunk_IHDR)
        1    0.000    0.000    0.000    0.000 posixpath.py:341(abspath)
       28    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 sre_parse.py:182(__next)
        8    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       25    0.000    0.000    0.000    0.000 {isinstance}
        4    0.000    0.000    0.000    0.000 PngImagePlugin.py:43(i32)
       26    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 optparse.py:1516(_process_short_opts)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       24    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        5    0.000    0.000    0.000    0.000 Image.py:2104(register_save)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:50(Skip)
        1    0.000    0.000    0.000    0.000 optparse.py:1318(get_default_values)
        8    0.000    0.000    0.000    0.000 ImageFile.py:516(_safe_read)
        1    0.000    0.000    0.000    0.000 posixpath.py:312(normpath)
        2    0.000    0.000    0.000    0.000 Image.py:371(_getdecoder)
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        2    0.000    0.000    0.000    0.000 ImageFile.py:227(load_prepare)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:117(crc)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        4    0.000    0.000    0.000    0.000 string.py:308(join)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        2    0.000    0.000    0.000    0.000 optparse.py:588(_set_opt_strings)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       15    0.000    0.000    0.000    0.000 {built-in method pixel_access}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:375(load_prepare)
        8    0.000    0.000    0.000    0.000 Image.py:449(__init__)
        2    0.000    0.000    0.000    0.000 {PIL._imaging.new}
        7    0.000    0.000    0.000    0.000 {hasattr}
        3    0.000    0.000    0.000    0.000 Image.py:2094(register_mime)
